Address,Crawl Depth,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,Size,Word Count,Text Ratio,,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Hash,Response Time,Last Modified,Redirect URI,Redirect Type,URL Encoded Address
HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ehe.jhu.edu/,0,text/html;charset=UTF-8,200,OK,Department of Environmental Health and Engineering - Johns Hopkins University,77,645,Environmental Health and Engineering: A new cross-divisional academic department at The Johns Hopkins University.,113,685,,0,Department of Environmental Health & Engineering,48,Undergraduate,13,Congratulations to Sarah Attreed,32,Department Overview,19,,,https://ehe.jhu.edu/index.html,25269,678,19.295467,,1503,371,99.73,61,55,15,14,b1ffda2425a424391ff4ef82f17c60ea,0.453,,,,https://ehe.jhu.edu/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERGRADUATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ehe.jhu.edu/undergraduate/,2,text/html;charset=UTF-8,200,OK,Undergraduate - Department of Environmental Health and Engineering - Johns Hopkins University,93,781,,0,0,,0,Department of Environmental Health & Engineering,48,Undergraduate,13,Environmental Engineering Program Overview,42,Degree Programs,15,,,https://ehe.jhu.edu/undergraduate/index.html,16984,302,13.907206,,45,44,11.83,60,54,13,13,7b6b24b571527c7c8bd5a25822ada409,0.159,,,,https://ehe.jhu.edu/undergraduate/
https://ehe.jhu.edu/undergraduate/degree-programs/,2,text/html;charset=UTF-8,200,OK,Degree Programs - Undergraduate - Department of Environmental Health and Engineering - Johns Hopkins University,111,939,,0,0,,0,Department of Environmental Health & Engineering,48,Undergraduate Programs,22,Majors,6,Combined Bachelor/Master's Degree Program,41,,,https://ehe.jhu.edu/undergraduate/degree-programs/index.html,17395,347,15.368252,,60,45,12.1,66,57,10,10,e1e9449ea8c369811b0ea023b4e7933b,0.465,,,,https://ehe.jhu.edu/undergraduate/degree-programs/
https://ehe.jhu.edu/undergraduate/degree-programs/bachelor-masters-degree-combinations/,2,text/html;charset=UTF-8,200,OK,Bachelor/Masters Degree Combinations - Degree Programs - Undergraduate - Department of Environmental Health and Engineering - Johns Hopkins University,150,1274,,0,0,,0,Department of Environmental Health & Engineering,48,Bachelor/Masters Degree Combinations,36,,0,,0,,,https://ehe.jhu.edu/undergraduate/degree-programs/bachelor-masters-degree-combinations/index.html,15653,224,11.064971,,18,14,3.76,61,52,10,10,dbe1c27667f1595c81a6c0325bc1e0a2,0.294,,,,https://ehe.jhu.edu/undergraduate/degree-programs/bachelor-masters-degree-combinations/
https://ehe.jhu.edu/undergraduate/degree-programs/bachelor-masters-degree-combinations/bachelors-masters-engineering-five-year-program.html,1,text/html;charset=UTF-8,200,OK,Combined BSE-MSE Program - Department of Environmental Health and Engineering - Johns Hopkins University,104,903,,0,0,,0,Department of Environmental Health & Engineering,48,Bachelor of Science in Engineering/Master of Science in Engineering Five-Year Program,85,,0,,0,,,https://ehe.jhu.edu/undergraduate/degree-programs/bachelor-masters-degree-combinations/bachelors-masters-engineering-five-year-program.html,17337,489,19.748457,,18,13,3.49,58,51,12,12,a1aa735ca40c08bc3396202de335000b,0.259,,,,https://ehe.jhu.edu/undergraduate/degree-programs/bachelor-masters-degree-combinations/bachelors-masters-engineering-five-year-program.html
https://ehe.jhu.edu/undergraduate/degree-programs/general-major-information/,2,text/html;charset=UTF-8,200,OK,Majors - Degree Programs - Undergraduate - Department of Environmental Health and Engineering - Johns Hopkins University,120,1009,,0,0,,0,Department of Environmental Health & Engineering,48,Majors,6,,0,,0,,,https://ehe.jhu.edu/undergraduate/degree-programs/general-major-information/index.html,15353,213,10.527001,,19,14,3.76,61,52,10,10,867b64962facc1303d6a281fdf727938,0.515,,,,https://ehe.jhu.edu/undergraduate/degree-programs/general-major-information/
https://ehe.jhu.edu/undergraduate/degree-programs/general-major-information/bachelor-of-arts-in-geography.html,1,text/html;charset=UTF-8,200,OK,Majors - Degree Programs - Undergraduate - Department of Environmental Health and Engineering - Johns Hopkins University,120,1009,,0,0,,0,Department of Environmental Health & Engineering,48,Bachelor of Arts in Geography,29,,0,,0,,,https://ehe.jhu.edu/undergraduate/degree-programs/general-major-information/bachelor-of-arts-in-geography.html,15262,233,11.486044,,16,13,3.49,58,51,10,10,fb2bf001288b84d667fb15204f5303ba,0.261,,,,https://ehe.jhu.edu/undergraduate/degree-programs/general-major-information/bachelor-of-arts-in-geography.html
